"study_id","user_id","question_id","ema_rule_id","ema_survey_date","timestamp","Q_Type","response","response_timestamp","question_text"
"Transportation_Equity","user_id_573",1,1,"2022-11-12","2022-11-13 04:36:36",2,"0","2022-11-13 04:36:36","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-13","2022-11-14 04:33:48",2,"0","2022-11-14 04:33:48","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-14","2022-11-15 02:06:46",2,"0","2022-11-15 02:06:46","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-15","2022-11-16 04:08:20",2,"0","2022-11-16 04:08:20","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-16","2022-11-17 05:25:20",2,"0","2022-11-17 05:25:20","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-17","2022-11-18 02:09:26",2,"0","2022-11-18 02:09:26","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-18","2022-11-19 05:33:42",2,"0","2022-11-19 05:33:42","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-19","2022-11-20 19:05:02",2,"0","2022-11-20 19:05:02","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-20","2022-11-21 23:47:05",2,"0","2022-11-21 23:47:05","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",1,1,"2022-11-21","2022-11-22 15:12:51",2,"0","2022-11-22 15:12:51","When you were at home today, roughly how many hours were spent on work or study?"
"Transportation_Equity","user_id_573",2,1,"2022-11-12","2022-11-13 04:36:36",2,"0","2022-11-13 04:36:36","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
"Transportation_Equity","user_id_573",2,1,"2022-11-13","2022-11-14 04:33:48",2,"2","2022-11-14 04:33:48","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
"Transportation_Equity","user_id_573",2,1,"2022-11-14","2022-11-15 02:06:46",2,"0","2022-11-15 02:06:46","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
"Transportation_Equity","user_id_573",2,1,"2022-11-15","2022-11-16 04:08:20",2,"0","2022-11-16 04:08:20","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
"Transportation_Equity","user_id_573",2,1,"2022-11-16","2022-11-17 05:25:20",2,"0","2022-11-17 05:25:20","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
"Transportation_Equity","user_id_573",2,1,"2022-11-17","2022-11-18 02:09:26",2,"0","2022-11-18 02:09:26","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
"Transportation_Equity","user_id_573",2,1,"2022-11-18","2022-11-19 05:33:42",2,"0","2022-11-19 05:33:42","When you were at home today, roughly how many hours were spent on caregiving for family, friends, or others?"
